account_id,amount,date
2,-60.0,2019-12-04
2,-10.5,2019-11-30
2,-4.7,2019-11-29
2,-15.0,2019-11-29
2,-1.6,2019-11-27
2,-12.9,2019-11-27
2,-41.96,2019-11-25
2,300.0,2019-11-25
2,-14.9,2019-11-24
2,-11.2,2019-11-16
2,60.0,2019-11-06
2,-14.9,2019-10-24
2,-2500.0,2019-10-18
2,2500.0,2019-10-17
2,-30.0,2019-09-28
2,-20.0,2019-09-27
2,-14.9,2019-09-24
2,50.0,2019-09-16
2,11.22,2019-09-15
2,-11.22,2019-09-05
2,-11.22,2019-09-05
2,-1.81,2019-09-04
2,-9.22,2019-09-04
2,-24.58,2019-09-02
2,-15.0,2019-09-02
2,-26.4,2019-09-01
2,26.46,2019-09-01
2,-14.0,2019-08-29
2,-14.9,2019-08-24
2,-559.0,2019-08-24
2,25.0,2019-08-23
2,529.85,2019-08-23
2,-1.6,2019-08-23
2,-450.0,2019-08-23
2,-64.0,2019-08-22
2,-14.9,2019-08-21
2,-450.0,2019-08-20
2,-31.66,2019-08-20
2,-20.5,2019-08-20
2,1000.0,2019-08-20
2,-50.08,2019-08-17
2,-8.0,2019-08-16
2,-23.9,2019-08-14
2,1.0,2019-08-14
2,-2.0,2019-08-13
2,200.0,2019-08-12
2,-1.0,2019-08-11
2,-1000.0,2019-08-11
2,-5.0,2019-08-11
2,-5.0,2019-08-11
2,-25.0,2019-08-10
2,-5.0,2019-08-10
2,-1.03,2019-08-10
2,-0.65,2019-08-10
2,-1.38,2019-08-10
2,-4.9,2019-08-10
2,-1.25,2019-08-10
2,-1.5,2019-08-10
2,-29.5,2019-08-09
2,-45.5,2019-08-09
2,-7.2,2019-08-08
2,500.0,2019-08-08
2,-1.4,2019-08-08
2,16.19,2019-08-08
2,-16.19,2019-08-08
2,-1.0,2019-08-07
2,-200.0,2019-08-06
2,500.0,2019-08-06
2,-13.4,2019-08-05
2,250.0,2019-08-05
2,-42.3,2019-08-04
2,-16.0,2019-08-03
2,-58.02,2019-08-02
2,-26.3,2019-08-01
2,-42.0,2019-07-31
2,-14.9,2019-07-25
2,-5.4,2019-07-22
2,-10.23,2019-07-21
2,-13.15,2019-07-20
2,-5.35,2019-07-20
2,-56.5,2019-07-20
2,-201.5,2019-07-20
2,51.75,2019-07-20
2,-51.75,2019-07-20
2,-42.08,2019-07-20
2,-1.95,2019-07-19
2,1.6,2019-07-18
2,-1.95,2019-07-17
2,-1.95,2019-07-17
2,-29.0,2019-07-17
2,494.91,2019-07-17
2,-25.0,2019-07-16
2,-52.87,2019-07-16
2,-16.9,2019-07-14
2,-20.0,2019-07-13
2,150.0,2019-07-12
2,-50.67,2019-07-11
2,-20.0,2019-07-09
2,10.69,2019-07-08
2,-10.69,2019-07-08
2,-22.8,2019-07-03
2,-25.65,2019-07-01
2,-19.27,2019-07-01
2,-14.0,2019-06-29
2,-8.39,2019-06-28
2,-34.5,2019-06-27
2,-800.0,2019-06-26
2,1000.0,2019-06-25
2,-14.9,2019-06-25
2,-13.15,2019-06-24
2,-65.75,2019-06-24
2,-22.8,2019-06-24
2,-4.0,2019-06-22
2,-2.8,2019-06-19
2,-800.0,2019-06-18
2,1000.0,2019-06-18
2,-22.8,2019-06-18
2,-4.8,2019-06-16
2,-4.5,2019-06-15
2,-14.9,2019-06-14
2,-41.97,2019-06-13
2,-7.99,2019-06-13
2,-4.9,2019-06-13
2,-6.19,2019-06-12
2,-19.45,2019-06-12
2,-1000.0,2019-06-04
2,-7.48,2019-05-30
2,-12.19,2019-05-30
2,-17.0,2019-05-29
2,0.11,2019-05-27
2,385.93,2019-05-27
2,26.8,2019-05-27
2,44.64,2019-05-27
2,26.8,2019-05-27
2,-14.9,2019-05-27
2,-0.89,2019-05-26
2,-14.9,2019-05-25
2,500.0,2019-05-24
2,-7.8,2019-05-23
2,-6.4,2019-05-23
2,-1.25,2019-05-23
2,-100.0,2019-05-23
2,-5.0,2019-05-21
2,-2.8,2019-05-21
2,-26.0,2019-05-19
2,175.15,2019-05-16
2,1.15,2019-05-16
2,-1.15,2019-05-16
2,1.15,2019-05-16
2,-1.15,2019-05-16
2,-27.29,2019-05-15
2,-7.3,2019-05-15
2,-3.0,2019-05-15
2,-278.52,2019-05-14
2,-34.59,2019-05-12
2,-12.73,2019-05-11
2,-23.42,2019-05-11
2,-20.73,2019-05-11
2,-76.56,2019-05-11
2,-9.28,2019-05-10
2,-44.58,2019-05-10
2,-89.08,2019-05-10
2,-44.64,2019-05-10
2,-23.22,2019-05-10
2,-67.77,2019-05-10
2,-10.25,2019-05-09
2,-44.75,2019-05-09
2,-223.73,2019-05-09
2,-98.7,2019-05-09
2,-120.81,2019-05-09
2,-16.09,2019-05-08
2,800.0,2019-05-08
2,-71.18,2019-05-08
2,-9.71,2019-05-08
2,-9.4,2019-05-08
2,-49.15,2019-05-08
2,-5.8,2019-05-08
2,-9.85,2019-05-08
2,-33.96,2019-05-07
2,-0.73,2019-05-07
2,-5.12,2019-05-07
2,-60.16,2019-05-07
2,1.91,2019-05-07
2,-1.91,2019-05-07
2,-2.01,2019-05-07
2,1000.0,2019-05-07
2,-0.11,2019-05-07
2,-51.43,2019-05-07
2,-3.21,2019-05-06
2,-25.84,2019-05-05
2,-25.96,2019-05-05
2,-193.69,2019-05-05
2,-22.29,2019-05-05
2,-9.94,2019-05-05
2,-4.68,2019-05-04
2,-4.55,2019-05-04
2,-561.51,2019-05-04
2,-26.8,2019-05-04
2,-26.8,2019-05-04
2,-43.25,2019-05-04
2,-31.43,2019-05-04
2,-6.17,2019-05-03
2,-5.97,2019-05-03
2,-21.92,2019-05-03
2,-26.94,2019-05-03
2,-26.94,2019-05-03
2,-33.1,2019-05-03
2,-80.89,2019-05-03
2,-29.13,2019-05-03
2,-385.93,2019-05-03
2,-39.85,2019-05-03
2,-37.71,2019-05-03
2,-9.86,2019-05-03
2,-8.95,2019-05-02
2,-17.0,2019-05-02
2,-20.05,2019-05-02
2,1500.0,2019-05-02
2,-181.67,2019-05-02
2,-13.59,2019-05-02
2,-4.69,2019-05-02
2,-43.93,2019-05-02
2,-4.92,2019-05-02
2,-7.31,2019-05-02
2,-27.05,2019-05-02
2,-24.85,2019-05-02
2,-6.78,2019-05-01
2,-23.7,2019-05-01
2,86.51,2019-04-30
2,-41.52,2019-04-30
2,17.89,2019-04-30
2,-12.0,2019-04-29
2,-7.9,2019-04-28
2,-47.0,2019-04-28
2,-36.5,2019-04-27
2,-87.29,2019-04-27
2,-263.12,2019-04-27
2,-26.0,2019-04-26
2,-2.0,2019-04-26
2,-14.9,2019-04-26
2,-56.7,2019-04-25
2,-25.0,2019-04-24
2,-47.5,2019-04-23
2,-28.0,2019-04-23
2,-4.74,2019-04-23
2,-60.0,2019-04-23
2,-50.0,2019-04-23
2,-12.0,2019-04-22
2,-19.5,2019-04-21
2,-35.0,2019-04-21
2,-15.2,2019-04-19
2,-7.37,2019-04-19
2,-80.0,2019-04-18
2,131.61,2019-04-16
2,-113.0,2019-04-16
2,3.95,2019-04-16
2,-3.4,2019-04-16
2,-131.91,2019-04-14
2,-3.96,2019-04-14
2,-10.75,2019-04-13
2,-10.0,2019-04-13
2,-18.0,2019-04-13
2,-60.0,2019-04-12
2,-2.55,2019-04-11
2,-30.0,2019-04-09
2,-25.0,2019-04-09
2,-7.0,2019-04-08
2,-8.0,2019-04-07
2,-60.0,2019-04-06
2,-23.0,2019-04-03
2,-12.5,2019-03-30
2,-1000.0,2019-03-29
2,1500.0,2019-03-28
2,17.0,2019-03-28
2,105.0,2019-03-27
2,-43.13,2019-03-27
2,-14.9,2019-03-25
2,236.0,2019-03-22
2,-14.5,2019-03-19
2,1000.0,2019-03-18
2,-17.0,2019-03-17
2,-21.0,2019-03-16
2,-900.0,2019-03-15
2,-118.47,2019-03-15
2,-18.0,2019-03-14
2,-10.0,2019-03-14
2,-8.35,2019-03-13
2,3.5,2019-03-13
2,-3.5,2019-03-12
2,1000.0,2019-03-12
2,-300.0,2019-03-10
2,-5.0,2019-03-06
2,15.4,2019-02-28
2,-100.0,2019-02-27
2,-12.0,2019-02-27
2,500.0,2019-02-26
2,-57.56,2019-02-26
2,-14.9,2019-02-25
2,-500.0,2019-02-25
2,-8.66,2019-02-24
2,9.11,2019-02-24
2,-9.11,2019-02-24
2,-6.3,2019-02-23
2,-9.17,2019-02-21
2,9.07,2019-02-20
2,-9.07,2019-02-20
2,-4.13,2019-02-20
2,-11.45,2019-02-20
2,-10.72,2019-02-20
2,-2.68,2019-02-18
2,-4.78,2019-02-18
2,-8.84,2019-02-18
2,-4.56,2019-02-18
2,-7.5,2019-02-18
2,-20.84,2019-02-18
2,-9.26,2019-02-18
2,-17.61,2019-02-17
2,500.0,2019-02-15
2,135.0,2019-02-15
2,-41.37,2019-02-14
2,-1.82,2019-02-14
2,-186.59,2019-02-13
2,-187.1,2019-02-11
