date,amount,account_id,previous_amount_1,previous_amount_2,previous_amount_3,previous_amount_4,previous_amount_5,previous_amount_6,previous_amount_7,previous_amount_8,previous_amount_9,previous_amount_10,previous_amount_11,previous_amount_12
2017-08-14,180.0,2,11.94,0.0,0.0,5.9,13.26,203.51999999999998,0.0,5.9,0.0,2293.69,5.9,0.0
2017-08-21,375.9,2,180.0,11.94,0.0,0.0,5.9,13.26,203.51999999999998,0.0,5.9,0.0,2293.69,5.9
2017-08-28,281.74,2,375.9,180.0,11.94,0.0,0.0,5.9,13.26,203.51999999999998,0.0,5.9,0.0,2293.69
2017-09-04,1339.1999999999998,2,281.74,375.9,180.0,11.94,0.0,0.0,5.9,13.26,203.51999999999998,0.0,5.9,0.0
2017-09-11,2520.2799999999997,2,1339.1999999999998,281.74,375.9,180.0,11.94,0.0,0.0,5.9,13.26,203.51999999999998,0.0,5.9
2017-09-18,1204.2400000000002,2,2520.2799999999997,1339.1999999999998,281.74,375.9,180.0,11.94,0.0,0.0,5.9,13.26,203.51999999999998,0.0
2017-09-25,458.87,2,1204.2400000000002,2520.2799999999997,1339.1999999999998,281.74,375.9,180.0,11.94,0.0,0.0,5.9,13.26,203.51999999999998
2017-10-02,1083.7,2,458.87,1204.2400000000002,2520.2799999999997,1339.1999999999998,281.74,375.9,180.0,11.94,0.0,0.0,5.9,13.26
2017-10-09,31.26,2,1083.7,458.87,1204.2400000000002,2520.2799999999997,1339.1999999999998,281.74,375.9,180.0,11.94,0.0,0.0,5.9
2017-10-16,867.56,2,31.26,1083.7,458.87,1204.2400000000002,2520.2799999999997,1339.1999999999998,281.74,375.9,180.0,11.94,0.0,0.0
2017-10-23,1059.7199999999998,2,867.56,31.26,1083.7,458.87,1204.2400000000002,2520.2799999999997,1339.1999999999998,281.74,375.9,180.0,11.94,0.0
2017-10-30,395.5400000000001,2,1059.7199999999998,867.56,31.26,1083.7,458.87,1204.2400000000002,2520.2799999999997,1339.1999999999998,281.74,375.9,180.0,11.94
2017-11-06,49.760000000000005,2,395.5400000000001,1059.7199999999998,867.56,31.26,1083.7,458.87,1204.2400000000002,2520.2799999999997,1339.1999999999998,281.74,375.9,180.0
2017-11-13,163.18,2,49.760000000000005,395.5400000000001,1059.7199999999998,867.56,31.26,1083.7,458.87,1204.2400000000002,2520.2799999999997,1339.1999999999998,281.74,375.9
2017-11-20,742.9,2,163.18,49.760000000000005,395.5400000000001,1059.7199999999998,867.56,31.26,1083.7,458.87,1204.2400000000002,2520.2799999999997,1339.1999999999998,281.74
2017-11-27,378.5,2,742.9,163.18,49.760000000000005,395.5400000000001,1059.7199999999998,867.56,31.26,1083.7,458.87,1204.2400000000002,2520.2799999999997,1339.1999999999998
2017-12-04,379.36,2,378.5,742.9,163.18,49.760000000000005,395.5400000000001,1059.7199999999998,867.56,31.26,1083.7,458.87,1204.2400000000002,2520.2799999999997
2017-12-11,1157.1,2,379.36,378.5,742.9,163.18,49.760000000000005,395.5400000000001,1059.7199999999998,867.56,31.26,1083.7,458.87,1204.2400000000002
2017-12-18,170.29,2,1157.1,379.36,378.5,742.9,163.18,49.760000000000005,395.5400000000001,1059.7199999999998,867.56,31.26,1083.7,458.87
2017-12-25,1057.44,2,170.29,1157.1,379.36,378.5,742.9,163.18,49.760000000000005,395.5400000000001,1059.7199999999998,867.56,31.26,1083.7
2018-01-01,547.67,2,1057.44,170.29,1157.1,379.36,378.5,742.9,163.18,49.760000000000005,395.5400000000001,1059.7199999999998,867.56,31.26
2018-01-08,1528.5,2,547.67,1057.44,170.29,1157.1,379.36,378.5,742.9,163.18,49.760000000000005,395.5400000000001,1059.7199999999998,867.56
2018-01-15,1305.52,2,1528.5,547.67,1057.44,170.29,1157.1,379.36,378.5,742.9,163.18,49.760000000000005,395.5400000000001,1059.7199999999998
2018-01-22,1569.57,2,1305.52,1528.5,547.67,1057.44,170.29,1157.1,379.36,378.5,742.9,163.18,49.760000000000005,395.5400000000001
2018-01-29,86.73,2,1569.57,1305.52,1528.5,547.67,1057.44,170.29,1157.1,379.36,378.5,742.9,163.18,49.760000000000005
2018-02-05,1159.19,2,86.73,1569.57,1305.52,1528.5,547.67,1057.44,170.29,1157.1,379.36,378.5,742.9,163.18
2018-02-12,10.99,2,1159.19,86.73,1569.57,1305.52,1528.5,547.67,1057.44,170.29,1157.1,379.36,378.5,742.9
